id,position,form,team,price,pp_million,pp_mil_per_90,total_points,gw_points,minutes,bonus,goals_scored,assists,goals_conceded,own_goals,clean_sheets,saves,yellow_cards,red_cards,value_form,points_per_game,selected_by_percent,element_type,Name,9_xMins,10_xMins,11_xMins,12_xMins,13_xMins,9_xPts,10_xPts,11_xPts,12_xPts,13_xPts,total_xP,total_xM
557,Goalkeeper,0.0,Wolves,4.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.8,1,Jackson Smith,0.05,0.05,0.05,0.05,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.25
558,Defender,0.0,Wolves,4.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.7,2,Bueno,0.79,0.79,0.79,0.79,0.79,0.04,0.04,0.05,0.04,0.05,0.22000000000000003,3.95
566,Midfielder,0.0,Wolves,4.4,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.1,3,Hodge,0.05,0.05,0.05,0.05,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.25
567,Midfielder,0.0,Wolves,4.4,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.2,3,Ronan,1.05,1.05,1.05,1.05,1.05,0.07,0.07,0.08,0.07,0.08,0.37000000000000005,5.25
568,Midfielder,0.7,Wolves,4.4,0.7,2.423076923076923,3,1,26,0,0,0,0,0,0,0,0,0,0.2,1.0,0.5,3,Campbell,5.26,16.58,11.05,10.32,8.53,0.33,0.78,0.72,0.6,0.56,2.99,51.74
579,Midfielder,1.0,Wolves,6.0,2.7,0.5535307517084282,16,1,439,1,0,1,6,0,2,0,1,0,0.2,2.3,0.4,3,Guedes,71.66,66.41,59.42,57.68,55.64,2.96,2.42,3.26,2.51,2.88,14.030000000000001,310.81
589,Midfielder,4.0,Wolves,5.0,3.8,0.6758893280632411,19,2,506,3,0,1,7,0,2,0,1,0,0.8,3.2,0.3,3,Nunes,80.4,83.67,82.57,81.48,80.4,2.66,2.42,3.38,2.69,3.03,14.18,408.52
608,Forward,0.3,Wolves,5.4,0.2,0.4,1,0,45,0,0,0,0,0,0,0,0,0,0.1,1.0,0.0,4,Kalajdzic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
625,Forward,0.5,Wolves,5.5,0.2,0.5625,1,1,32,0,0,0,0,0,0,0,0,0,0.1,1.0,0.3,4,Costa,40.83,53.79,58.36,37.79,31.97,1.89,2.08,3.37,1.79,1.87,11.0,222.74
629,Midfielder,1.0,Wolves,4.5,0.4,0.972972972972973,2,1,37,0,0,0,0,0,0,0,0,0,0.2,1.0,0.0,3,Boubacar Traore,9.21,9.21,9.21,11.84,13.5,0.51,0.49,0.58,0.66,0.77,3.0100000000000002,52.97
